uic_code,station_name,station_name_normalized,city_name,city_name_normalized,latitude,longitude,segment_drg
87742262,Toulon Sainte-Musse,toulon sainte-musse,Toulon Sainte-Musse,toulon sainte-musse,43.125008,5.972433,
87742320,Saint-Jean-de-Maurienne Arvan,saint-jean-de-maurienne arvan,Saint-Jean-de-Maurienne Arvan,saint-jean-de-maurienne arvan,45.277542,6.354716,
87742361,Saint-Michel - Valloire,saint-michel - valloire,Saint-Michel - Valloire,saint-michel - valloire,45.216916,6.471914,
87743005,Bourg-en-Bresse,bourg-en-bresse,Bourg-en-Bresse,bourg-en-bresse,46.200111,5.215011,
87743104,La Vavrette Tossiat RD1075,la vavrette tossiat rd1075,La,la,46.134616,5.290295,
87743112,Saint-Martin-du-Mont,saint-martin-du-mont,Saint-Martin-du-Mont,saint-martin-du-mont,46.095702,5.303215,
87743120,Pont-d'Ain,pont-dain,Pont-d'Ain,pont-dain,46.054009,5.334332,
87743146,Ambronay - Priay,ambronay - priay,Ambronay - Priay,ambronay - priay,46.011866,5.339141,
87743302,Ceyzériat,ceyzeriat,Ceyzériat,ceyzeriat,46.183333,5.325636,
87743328,Villereversure,villereversure,Villereversure,villereversure,46.194192,5.397474,
87743336,Simandre-sur-Suran,simandre-sur-suran,Simandre-sur-Suran,simandre-sur-suran,46.22021,5.421093,
87743344,Cize - Bolozon,cize - bolozon,Cize - Bolozon,cize - bolozon,46.21348,5.454068,
87743351,Nurieux Gare,nurieux gare,Nurieux,nurieux,46.184121,5.532726,
87743526,Bellignat,bellignat,Bellignat,bellignat,46.238622,5.630407,
87743534,Oyonnax,oyonnax,Oyonnax,oyonnax,46.259671,5.653281,
87743591,Molinges Village,molinges village,Molinges,molinges,46.356939,5.76531,
87743633,Saint-Claude,saint-claude,Saint-Claude,saint-claude,46.389964,5.860345,
