origin_uic,destination_uic,origin_name,destination_name,trip_count,duration_minutes,source
87723197,87686006,Lyon Part Dieu,Paris Gare de Lyon,83,117,GTFS_TGV
87781104,87784009,Narbonne,Perpignan,81,34,GTFS_TGV
87781278,87781005,Agde,Béziers,81,14,GTFS_TGV
87781005,87781104,Béziers,Narbonne,81,14,GTFS_TGV
87773200,87781278,Sète,Agde,81,13,GTFS_TGV
87171462,87171009,Bazancourt,Reims,81,11,GTFS_TGV
87172270,87171462,Rethel,Bazancourt,81,12,GTFS_TGV
87703975,87763029,Nîmes Pont du Gard,Valence TGV Rhône-Alpes Sud,80,38,GTFS_TGV
87703975,87688887,Nîmes Pont du Gard,Montpellier Sud de France,79,20,GTFS_TGV
87417444,87171009,Franchet d'Esperey,Reims,78,4,GTFS_TGV
87171272,87417444,Reims Maison Blanche,Franchet d'Esperey,78,1,GTFS_TGV
87171926,87171272,Champagne-Ardenne TGV,Reims Maison Blanche,78,5,GTFS_TGV
87686006,87762906,Paris Gare de Lyon,Lyon Saint-Exupéry TGV,78,112,GTFS_TGV
87763029,87703975,Valence TGV Rhône-Alpes Sud,Nîmes Pont du Gard,78,37,GTFS_TGV
87741132,87741009,Aix-les-Bains le Revard,Chambéry - Challes-les-Eaux,77,11,GTFS_TGV
87481002,87481705,Nantes,Saint-Nazaire,77,34,GTFS_TGV
87113001,87212027,Paris Est,Strasbourg,76,107,GTFS_TGV
87571240,87571216,Saint-Pierre-des-Corps,Vendôme - Villiers-sur-Loir TGV,76,21,GTFS_TGV
87474338,87473207,Morlaix,Guingamp,76,26,GTFS_TGV
87763029,87686006,Valence TGV Rhône-Alpes Sud,Paris Gare de Lyon,76,136,GTFS_TGV
87476002,87474098,Lorient Bretagne Sud,Quimper,76,33,GTFS_TGV
87172254,87172239,Sedan,Donchery,73,4,GTFS_TGV
87481705,87481002,Saint-Nazaire,Nantes,73,35,GTFS_TGV
87171009,87171462,Reims,Bazancourt,72,9,GTFS_TGV
87751602,87753285,L'Estaque,Pas des Lanciers,72,6,GTFS_TGV
87753251,87753202,Rognac,Saint-Chamas,72,11,GTFS_TGV
87753285,87439554,Pas des Lanciers,Vitrolles Aéroport Marseille Provence,72,3,GTFS_TGV
87439554,87753251,Vitrolles Aéroport Marseille Provence,Rognac,72,4,GTFS_TGV
87753202,87753004,Saint-Chamas,Miramas,72,5,GTFS_TGV
87171462,87172270,Bazancourt,Rethel,72,12,GTFS_TGV
87172262,87172270,Amagne - Lucquy,Rethel,72,5,GTFS_TGV
87751008,87751602,Marseille Saint-Charles,L'Estaque,71,8,GTFS_TGV
87391003,87478404,Paris Montparnasse,Laval,71,75,GTFS_TGV
87172007,87172171,Charleville-Mézières,Poix-Terron,70,11,GTFS_TGV
87172171,87172262,Poix-Terron,Amagne - Lucquy,70,13,GTFS_TGV
87673202,87672253,Dax,Orthez,70,27,GTFS_TGV
87672253,87672006,Orthez,Pau,70,22,GTFS_TGV
87746008,87741132,Annecy,Aix-les-Bains le Revard,69,28,GTFS_TGV
87757674,87757625,Antibes,Cannes,69,8,GTFS_TGV
87756056,87757674,Nice,Antibes,69,17,GTFS_TGV
87476606,87471003,Vannes,Rennes,69,58,GTFS_TGV
87686006,87694109,Paris Gare de Lyon,Le Creusot - Montceau-les-Mines - Montchanin TGV,68,80,GTFS_TGV
87212027,87113001,Strasbourg,Paris Est,67,106,GTFS_TGV
87473009,87473108,Saint-Brieuc,Lamballe,66,9,GTFS_TGV
87313882,87342014,Haute Picardie TGV,Arras,66,18,GTFS_TGV
87575001,87485300,Poitiers,Niort,66,43,GTFS_TGV
87763029,87318964,Valence TGV Rhône-Alpes Sud,Avignon TGV,66,32,GTFS_TGV
87473108,87471003,Lamballe,Rennes,66,40,GTFS_TGV
87172239,87172254,Donchery,Sedan,65,5,GTFS_TGV
87172262,87172171,Amagne - Lucquy,Poix-Terron,65,14,GTFS_TGV
87172270,87172262,Rethel,Amagne - Lucquy,65,5,GTFS_TGV
87172171,87172007,Poix-Terron,Charleville-Mézières,65,12,GTFS_TGV
87223263,87313882,Lille Europe,Haute Picardie TGV,64,29,GTFS_TGV
87586008,87611244,Agen,Montauban Ville Bourbon,64,34,GTFS_TGV
87611244,87611004,Montauban Ville Bourbon,Toulouse Matabiau,64,36,GTFS_TGV
87473108,87473009,Lamballe,Saint-Brieuc,64,10,GTFS_TGV
87725705,87741009,Mâcon Loché TGV,Chambéry - Challes-les-Eaux,64,76,GTFS_TGV
87471003,87473108,Rennes,Lamballe,64,37,GTFS_TGV
87478073,87471003,Dol-de-Bretagne,Rennes,62,34,GTFS_TGV
87478107,87478073,Saint-Malo,Dol-de-Bretagne,62,13,GTFS_TGV
87471003,87476606,Rennes,Vannes,62,57,GTFS_TGV
87755009,87751008,Toulon,Marseille Saint-Charles,62,43,GTFS_TGV
87686006,87725705,Paris Gare de Lyon,Mâcon Loché TGV,62,92,GTFS_TGV
