origin_uic,destination_uic,distance_km,duration_minutes,line_code,line_status,origin_name,destination_name,trip_count,source
87571240,87393702,,60,TGV,GTFS,Saint-Pierre-des-Corps,Massy TGV,182,gtfs_stop_times
87732008,87696328,,26,TRAIN,GTFS,Vichy,Moulins sur Allier,182,gtfs_stop_times
87393702,87571240,,60,TGV,GTFS,Massy TGV,Saint-Pierre-des-Corps,182,gtfs_stop_times
87696328,87732008,,26,TRAIN,GTFS,Moulins sur Allier,Vichy,182,gtfs_stop_times
87611400,87611301,,7,TRAIN,GTFS,Portet Saint-Simon,Saint-Agne,180,gtfs_stop_times
87581751,87582478,,19,TRAIN,GTFS,Pessac,Biganos Facture,180,gtfs_stop_times
87611301,87611400,,7,TRAIN,GTFS,Saint-Agne,Portet Saint-Simon,180,gtfs_stop_times
87582478,87581751,,19,TRAIN,GTFS,Biganos Facture,Pessac,180,gtfs_stop_times
87393348,87393314,,6,TRAIN,GTFS,Gazeran,Rambouillet,178,gtfs_stop_times
87394114,87393348,,7,TRAIN,GTFS,Épernon,Gazeran,178,gtfs_stop_times
87393348,87394114,,7,TRAIN,GTFS,Gazeran,Épernon,178,gtfs_stop_times
87722025,87282624,,8,TRAIN,GTFS,Lyon Perrache,Lyon Jean Macé,178,gtfs_stop_times
87282624,87722025,,8,TRAIN,GTFS,Lyon Jean Macé,Lyon Perrache,178,gtfs_stop_times
87393314,87393348,,6,TRAIN,GTFS,Rambouillet,Gazeran,178,gtfs_stop_times
87721001,87722025,,5,TRAIN,GTFS,Lyon Vaise,Lyon Perrache,169,gtfs_stop_times
87751750,87751081,,10,TRAIN,GTFS,Aubagne,Marseille Blancarde,169,gtfs_stop_times
87751081,87751750,,10,TRAIN,GTFS,Marseille Blancarde,Aubagne,169,gtfs_stop_times
